nome_curso_posgrad;nome_curso_posgrad_en;sigla_curso_posgrad;campus;modalidade;habilitacao;sigla_centro;nome_centro;url_curso_posgrad;THE_classificacao
FISIOTERAPIA;PHYSIOTHERAPY;PPGFIS;João Pessoa;Presencial;Mestrado;CCS;CENTRO DE CIÊNCIAS DA SAÚDE;https://sigaa.ufpb.br/sigaa/public/programa/portal.jsf?id=3387;Clinical and Health
FONOAUDIOLOGIA;SPEECH THERAPY;PPGFON;João Pessoa;Presencial;Mestrado;CCS;CENTRO DE CIÊNCIAS DA SAÚDE;https://sigaa.ufpb.br/sigaa/public/programa/portal.jsf?lc=pt_BR&id=3188;Clinical and Health
GEOGRAFIA;GEOGRAPHY;PPGG;João Pessoa;Presencial;Mestrado e Doutorado;CCEN;CENTRO DE CIÊNCIAS EXATAS E DA NATUREZA;https://sigaa.ufpb.br/sigaa/public/programa/portal.jsf?lc=pt_BR&id=1889;Physical Sciences
GERONTOLOGIA;GERONTOLOGY;PMPG;João Pessoa;Presencial;Mestrado Profissional;CCS;CENTRO DE CIÊNCIAS DA SAÚDE;https://sigaa.ufpb.br/sigaa/public/programa/portal.jsf?lc=pt_BR&id=3142;Clinical and Health
GESTÃO EM ORGANIZAÇÕES APRENDENTES;MANAGEMENT IN LEARNING ORGANIZATIONS;MPGOA;João Pessoa;Presencial;Mestrado Profissional;CE;CENTRO DE EDUCAÇÃO;https://sigaa.ufpb.br/sigaa/public/programa/portal.jsf?lc=pt_BR&id=1917;Business and Economics
GESTÃO PÚBLICA E COOPERAÇÃO INTERNACIONAL;PUBLIC MANAGEMENT AND INTERNATIONAL COOPERATION;PGPCI;João Pessoa;Presencial;Mestrado;CCSA;CENTRO DE CIÊNCIAS SOCIAIS E APLICADAS;https://sigaa.ufpb.br/sigaa/public/programa/portal.jsf?id=3144;Business and Economics
HISTÓRIA;HISTORY;PPGH;João Pessoa;Presencial;Mestrado;CCHLA;CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES;https://sigaa.ufpb.br/sigaa/public/programa/portal.jsf?lc=pt_BR&id=1908;Arts and Humanities
INFORMÁTICA;INFORMATICS;PPGI;João Pessoa;Presencial;Mestrado;CI;CENTRO DE INFORMÁTICA;https://sigaa.ufpb.br/sigaa/public/programa/portal.jsf?lc=pt_BR&id=1879;Computer Science
JORNALISMO;JOURNALISM;PPJ;João Pessoa;Presencial;Mestrado Profissional;CCTA;CENTRO DE COMUNICAÇÃO, TURISMO E ARTES;https://sigaa.ufpb.br/sigaa/public/programa/portal.jsf?lc=pt_BR&id=2618;Social Sciences
LETRAS;LANGUAGE TEACHING;PPGL;João Pessoa;Presencial;Mestrado e Doutorado;CCHLA;CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES;https://sigaa.ufpb.br/sigaa/public/programa/portal.jsf?lc=pt_BR&id=1877;Education
LETRAS/REDE NACIONAL;LANGUAGE TEACHING;PROFLETRAS;Rio Tinto/Mamanguape;Presencial;Mestrado;CCAE;CENTRO DE CIÊNCIAS APLICADAS E EDUCAÇÃO;https://sigaa.ufpb.br/sigaa/public/programa/portal.jsf?lc=pt_BR&id=2627;Education
