nome_curso_grad,nome_curso_grad_emec,nome_curso_grad_EN,campus,modalidade,habilitacao,sigla_centro,nome_centro,url_curso_grad,THE_classificacao
LETRAS,???,LANGUAGE TEACHING,João Pessoa,A Distância,Licenciatura,CCHLA,"CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES",https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626844&lc=pt_BR,Education
LETRAS/ESPANHOL,LETRAS - ESPANHOL,SPANISH LANGUAGE TEACHING,João Pessoa,Presencial,Licenciatura,CCHLA,"CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES",https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=2663753&lc=pt_BR,Education
LETRAS/ESPANHOL,LETRAS - ESPANHOL,SPANISH LANGUAGE TEACHING,Mamanguape,A Distância,Licenciatura,CCAE,CENTRO DE CIÊNCIAS APLICADAS E EDUCAÇÃO,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=2663760&lc=pt_BR,Arts and Humanities
LETRAS/FRANCÊS,LETRAS - FRANCÊS,FRENCH LANGUAGE TEACHING,João Pessoa,Presencial,Licenciatura,CCHLA,"CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES",https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=4057805&lc=pt_BR,Education
LETRAS/GREGO_LATIM,LETRAS - LETRAS CLÁSSICAS (GREGO E LATIM),CLASSICAL (GREEK AND LATIN) LANGUAGE TEACHING,João Pessoa,Presencial,Licenciatura,CCHLA,"CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES",https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=2663739&lc=pt_BR,Education
LETRAS/INGLÊS,LETRAS - INGLÊS,ENGLISH LANGUAGE TEACHING,Mamanguape,A Distância,Licenciatura,CCAE,CENTRO DE CIÊNCIAS APLICADAS E EDUCAÇÃO,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=2051542&lc=pt_BR,Arts and Humanities
LETRAS/INGLÊS,LETRAS - INGLÊS,ENGLISH LANGUAGE TEACHING,João Pessoa,Presencial,Licenciatura,CCHLA,"CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES",https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=2663749&lc=pt_BR,Education
LETRAS/LIBRAS,LETRAS - LÍNGUA PORTUGUESA E LIBRAS,BRAZILIAN SIGN LANGUAGE TEACHING,João Pessoa,A Distância,Licenciatura,CCHLA,"CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES",https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=2663763&lc=pt_BR,Education
LETRAS/LÍNGUA PORTUGUESA,LETRAS - LÍNGUA PORTUGUESA,PORTUGUESE LANGUAGE TEACHING,Mamanguape,Presencial,Licenciatura,CCAE,CENTRO DE CIÊNCIAS APLICADAS E EDUCAÇÃO,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626874&lc=pt_BR,Arts and Humanities
LETRAS/LÍNGUA PORTUGUESA,LETRAS - LÍNGUA PORTUGUESA,PORTUGUESE LANGUAGE TEACHING,João Pessoa,Presencial,Licenciatura,CCHLA,"CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES",https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626872&lc=pt_BR,Education
LÍNGUAS ESTRANGEIRAS APLICADAS ÀS NEGOCIAÇÕES INTERNACIONAIS,LÍNGUAS ESTRANGEIRAS APLICADAS ÀS NEGOCIAÇÕES INTERNACIONAIS,FOREIGN LANGUAGES FOR INTERNATIONAL RELATIONS,João Pessoa,Presencial,Bacharelado,CCHLA,"CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES",https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626814&lc=pt_BR,Business and Economics
MATEMÁTICA,MATEMÁTICA,MATHEMATICS,João Pessoa,Presencial,Bacharelado e Licenciatura,CCEN,CENTRO DE CIÊNCIAS EXATAS E DA NATUREZA,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626681&lc=pt_BR,Physical Sciences
MATEMÁTICA,MATEMÁTICA,MATHEMATICS,João Pessoa,A Distância,Licenciatura,CCEN,CENTRO DE CIÊNCIAS EXATAS E DA NATUREZA,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626841&lc=pt_BR,Education
MATEMÁTICA,MATEMÁTICA,MATHEMATICS,Rio Tinto,Presencial,Licenciatura,CCAE,CENTRO DE CIÊNCIAS APLICADAS E EDUCAÇÃO,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626785&lc=pt_BR,Education
MATEMÁTICA COMPUTACIONAL,MATEMÁTICA COMPUTACIONAL,COMPUTATIONAL MATHEMATICS,João Pessoa,Presencial,Bacharelado,CI,CENTRO DE INFORMÁTICA,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626769&lc=pt_BR,Computer Science
MEDICINA,MEDICINA,MEDICINE,João Pessoa,Presencial,Bacharelado,CCM,CENTRO DE CIENCIAS MEDICAS,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626795&lc=pt_BR,Clinical and Health
MEDICINA VETERINÁRIA,MEDICINA VETERINÁRIA,VETERINARY MEDICINE,Areia,Presencial,Bacharelado,CCA,CENTRO DE CIÊNCIAS AGRÁRIAS,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626810&lc=pt_BR,Life Sciences
MUSICA POPULAR,MÚSICA POPULAR,POPULAR MUSIC,João Pessoa,Presencial,Formação Específica,CCTA,"CENTRO DE COMUNICAÇÃO, TURISMO E ARTES",https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626881&lc=pt_BR,Arts and Humanities
MÚSICA,MÚSICA - EDUCAÇÃO MUSICAL,MUSIC,João Pessoa,Presencial,Licenciatura,CCTA,"CENTRO DE COMUNICAÇÃO, TURISMO E ARTES",https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626778&lc=pt_BR,Education
MÚSICA,MÚSICA - INSTRUMENTO/CANTO,MUSIC,João Pessoa,Presencial,Bacharelado,CCTA,"CENTRO DE COMUNICAÇÃO, TURISMO E ARTES",https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=2675573&lc=pt_BR,Arts and Humanities
NUTRIÇÃO,NUTRIÇÃO,NUTRITION,João Pessoa,Presencial,Bacharelado,CCS,CENTRO DE CIÊNCIAS DA SAÚDE,https://sigaa.ufpb.br/sigaa/public/curso/portal.jsf?id=1626733&lc=pt_BR,Clinical and Health
