,grande_area,area,codigo
179,Ciências Exatas e da Terra,Petrologia,1.07.01.02-8
180,Ciências Exatas e da Terra,Geoquímica,1.07.01.03-6
181,Ciências Exatas e da Terra,Geologia Regional,1.07.01.04-4
182,Ciências Exatas e da Terra,Geotectônica,1.07.01.05-2
183,Ciências Exatas e da Terra,Geocronologia,1.07.01.06-0
184,Ciências Exatas e da Terra,Cartografia Geológica,1.07.01.07-9
185,Ciências Exatas e da Terra,Metalogenia,1.07.01.08-7
186,Ciências Exatas e da Terra,Hidrogeologia,1.07.01.09-5
187,Ciências Exatas e da Terra,Prospecção Mineral,1.07.01.10-9
188,Ciências Exatas e da Terra,Sedimentologia,3.07.01.05-8
189,Ciências Exatas e da Terra,Paleontologia Estratigráfica,1.07.01.12-5
190,Ciências Exatas e da Terra,Estratigrafia,1.07.01.13-3
191,Ciências Exatas e da Terra,Geologia Ambiental,1.07.01.14-1
192,Ciências Exatas e da Terra,Geofísica,1.07.02.00-8
193,Ciências Exatas e da Terra,Geomagnetismo,1.07.02.01-6
194,Ciências Exatas e da Terra,Sismologia,1.07.02.02-4
195,Ciências Exatas e da Terra,Geotermia e Fluxo Térmico,1.07.02.03-2
196,Ciências Exatas e da Terra,Propriedades Físicas das Rochas,1.07.02.04-0
197,Ciências Exatas e da Terra,Geofísica Nuclear,1.07.02.05-9
198,Ciências Exatas e da Terra,Sensoriamento Remoto,1.07.02.06-7
199,Ciências Exatas e da Terra,Aeronomia,1.07.02.07-5
200,Ciências Exatas e da Terra,Desenvolvimento de Instrumentação Geofísica,1.07.02.08-3
201,Ciências Exatas e da Terra,Geofísica Aplicada,1.07.02.09-1
202,Ciências Exatas e da Terra,Meteorologia,1.07.03.00-4
203,Ciências Exatas e da Terra,Meteorologia Dinâmica,1.07.03.01-2
204,Ciências Exatas e da Terra,Meteorologia Sinótica,1.07.03.02-0
205,Ciências Exatas e da Terra,Meteorologia Física,1.07.03.03-9
206,Ciências Exatas e da Terra,Química da Atmosfera,1.07.03.04-7
207,Ciências Exatas e da Terra,Instrumentação Meteorológica,1.07.03.05-5
208,Ciências Exatas e da Terra,Climatologia,1.07.03.06-3
209,Ciências Exatas e da Terra,Micrometeorologia,1.07.03.07-1
210,Ciências Exatas e da Terra,Sensoriamento Remoto da Atmosfera,1.07.03.08-0
211,Ciências Exatas e da Terra,Meteorologia Aplicada,1.07.03.09-8
212,Ciências Exatas e da Terra,Geodesia,1.07.04.00-0
213,Ciências Exatas e da Terra,Geodesia Física,1.07.04.01-9
214,Ciências Exatas e da Terra,Geodesia Geométrica,1.07.04.02-7
215,Ciências Exatas e da Terra,Geodesia Celeste,1.07.04.03-5
216,Ciências Exatas e da Terra,Fotogrametria,1.07.04.04-3
217,Ciências Exatas e da Terra,Cartografia Básica,1.07.04.05-1
218,Ciências Exatas e da Terra,Geografia Física,1.07.05.00-7
219,Ciências Exatas e da Terra,Geomorfologia,1.07.05.01-5
220,Ciências Exatas e da Terra,Climatologia Geográfica,1.07.05.02-3
221,Ciências Exatas e da Terra,Pedologia,1.07.05.03-1
222,Ciências Exatas e da Terra,Hidrogeografia,1.07.05.04-0
223,Ciências Exatas e da Terra,Geoecologia,1.07.05.05-8
224,Ciências Exatas e da Terra,Fotogeografia (Físico-Ecológica),1.07.05.06-6
225,Ciências Exatas e da Terra,Geocartografia,1.07.05.07-4
226,Ciências Exatas e da Terra,Oceanografia,1.08.00.00-0
227,Ciências Exatas e da Terra,Oceanografia Biológica,1.08.01.00-6
228,Ciências Exatas e da Terra,Interação entre os Organismos Marinhos e os Parâmetros Ambientais,1.08.01.01-4
229,Ciências Exatas e da Terra,Oceanografia Física,1.08.02.00-2
230,Ciências Exatas e da Terra,Variáveis Físicas da Água do Mar,1.08.02.01-0
231,Ciências Exatas e da Terra,Movimento da Água do Mar,1.08.02.02-9
232,Ciências Exatas e da Terra,Origem das Massas de Água,1.08.02.03-7
233,Ciências Exatas e da Terra,Interação do Oceano com o Leito do Mar,1.08.02.04-5
234,Ciências Exatas e da Terra,Interação do Oceano com a Atmosfera,1.08.02.05-3
235,Ciências Exatas e da Terra,Oceanografia Química,1.08.03.00-9
236,Ciências Exatas e da Terra,Propriedades Químicas da Água do Mar,1.08.03.01-7
237,Ciências Exatas e da Terra,Interações Químico-Biológicas/Geológicas das Substâncias Químicas da Água do Mar,1.08.03.02-5
238,Ciências Exatas e da Terra,Oceanografia Geológica,1.08.04.00-5
239,Ciências Exatas e da Terra,Geomorfologia Submarina,1.08.04.01-3
240,Ciências Exatas e da Terra,Sedimentologia Marinha,1.08.04.02-1
241,Ciências Exatas e da Terra,Geofísica Marinha,1.08.04.03-0
242,Ciências Biológicas,Ciências Biológicas,2.00.00.00-6
243,Ciências Biológicas,Biologia Geral,2.01.00.00-0
244,Ciências Biológicas,Genética,2.02.00.00-5
245,Ciências Biológicas,Genética Quantitativa,2.02.01.00-1
246,Ciências Biológicas,Genética Molecular e de Microorganismos,2.02.02.00-8
247,Ciências Biológicas,Genética Vegetal,2.02.03.00-4
248,Ciências Biológicas,Genética Animal,2.02.04.00-0
249,Ciências Biológicas,Genética Humana e Médica,2.02.05.00-7
250,Ciências Biológicas,Mutagênese,2.02.06.00-3
251,Ciências Biológicas,Botânica,2.03.00.00-0
252,Ciências Biológicas,Paleobotânica,2.03.01.00-6
253,Ciências Biológicas,Morfologia Vegetal,2.03.02.00-2
254,Ciências Biológicas,Morfologia Externa,2.03.02.01-0
255,Ciências Biológicas,Citologia Vegetal,2.03.02.02-9
256,Ciências Biológicas,Anatomia Vegetal,2.03.02.03-7
257,Ciências Biológicas,Palinologia,2.03.02.04-5
258,Ciências Biológicas,Fisiologia Vegetal,2.03.03.00-9
259,Ciências Biológicas,Nutrição e Crescimento Vegetal,2.03.03.01-7
260,Ciências Biológicas,Reprodução Vegetal,2.03.03.02-5
261,Ciências Biológicas,Ecofisiologia Vegetal,2.03.03.03-3
262,Ciências Biológicas,Taxonomia Vegetal,2.03.04.00-5
263,Ciências Biológicas,Taxonomia de Criptógamos,2.03.04.01-3
264,Ciências Biológicas,Taxonomia de Fanerógamos,2.03.04.02-1
265,Ciências Biológicas,Fitogeografia,2.03.05.00-1
266,Ciências Biológicas,Botânica Aplicada,2.03.06.00-8
267,Ciências Biológicas,Zoologia,2.04.00.00-4
268,Ciências Biológicas,Paleozoologia,2.04.01.00-0
269,Ciências Biológicas,Morfologia dos Grupos Recentes,2.04.02.00-7
270,Ciências Biológicas,Fisiologia dos Grupos Recentes,2.04.03.00-3
271,Ciências Biológicas,Comportamento Animal,2.04.04.00-0
272,Ciências Biológicas,Taxonomia dos Grupos Recentes,2.04.05.00-6
273,Ciências Biológicas,Zoologia Aplicada,2.04.06.00-2
274,Ciências Biológicas,Conservação das Espécies Animais,2.04.06.01-0
275,Ciências Biológicas,Utilização dos Animais,2.04.06.02-9
276,Ciências Biológicas,Controle Populacional de Animais,2.04.06.03-7
277,Ciências Biológicas,Ecologia,2.05.00.00-9
278,Ciências Biológicas,Ecologia Teórica,2.05.01.00-5
279,Ciências Biológicas,Ecologia de Ecossistemas,2.05.02.00-1
280,Ciências Biológicas,Ecologia Aplicada,2.05.03.00-8
281,Ciências Biológicas,Morfologia,2.06.00.00-3
282,Ciências Biológicas,Citologia e Biologia Celular,2.06.01.00-0
283,Ciências Biológicas,Embriologia,2.06.02.00-6
284,Ciências Biológicas,Histologia,2.06.03.00-2
285,Ciências Biológicas,Anatomia,2.06.04.00-9
286,Ciências Biológicas,Anatomia Humana,2.06.04.01-7
287,Ciências Biológicas,Fisiologia,2.07.00.00-8
288,Ciências Biológicas,Fisiologia Geral,2.07.01.00-4
289,Ciências Biológicas,Fisiologia de Órgaos e Sistemas,2.07.02.00-0
290,Ciências Biológicas,Neurofisiologia,2.07.02.01-9
291,Ciências Biológicas,Fisiologia Cardiovascular,2.07.02.02-7
292,Ciências Biológicas,Fisiologia da Respiração,2.07.02.03-5
293,Ciências Biológicas,Fisiologia Renal,2.07.02.04-3
294,Ciências Biológicas,Fisiologia Endocrina,2.07.02.05-1
295,Ciências Biológicas,Fisiologia da Digestão,2.07.02.06-0
296,Ciências Biológicas,Cinesiologia,2.07.02.07-8
297,Ciências Biológicas,Fisiologia do Esforço,2.07.03.00-7
298,Ciências Biológicas,Fisiologia Comparada,2.07.04.00-3
299,Ciências Biológicas,Bioquímica,2.08.00.00-2
300,Ciências Biológicas,Química de Macromoléculas,2.08.01.00-9
301,Ciências Biológicas,Proteínas,2.08.01.01-7
302,Ciências Biológicas,Lipídeos,2.08.01.02-5
303,Ciências Biológicas,Glicídeos,2.08.01.03-3
304,Ciências Biológicas,Bioquímica dos Microorganismos,2.08.02.00-5
305,Ciências Biológicas,Metabolismo e Bioenergética,2.08.03.00-1
306,Ciências Biológicas,Biologia Molecular,2.08.04.00-8
307,Ciências Biológicas,Enzimologia,2.08.05.00-4
308,Ciências Biológicas,Biofísica,2.09.00.00-7
309,Ciências Biológicas,Biofísica Molecular,2.09.01.00-3
310,Ciências Biológicas,Biofísica Celular,2.09.02.00-0
311,Ciências Biológicas,Biofísica de Processos e Sistemas,2.09.03.00-6
312,Ciências Biológicas,Radiologia e Fotobiologia,2.09.04.00-2
313,Ciências Biológicas,Farmacologia,2.10.00.00-0
314,Ciências Biológicas,Farmacologia Geral,2.10.01.00-6
315,Ciências Biológicas,Farmacocinética,2.10.01.01-4
316,Ciências Biológicas,Biodisponibilidade,2.10.01.02-2
317,Ciências Biológicas,Farmacologia Autonômica,2.10.02.00-2
318,Ciências Biológicas,Neuropsicofarmacologia,2.10.03.00-9
319,Ciências Biológicas,Farmacologia Cardiorenal,2.10.04.00-5
320,Ciências Biológicas,Farmacologia Bioquímica e Molecular,2.10.05.00-1
321,Ciências Biológicas,Etnofarmacologia,2.10.06.00-8
