"dpto";"sexo";"total"
CT - DEPARTAMENTO DE ENGENHARIA DE MATERIAIS;F;9
CT - DEPARTAMENTO DE ENGENHARIA DE MATERIAIS;M;13
CT - DEPARTAMENTO DE ENGENHARIA DE PRODUÇÃO;F;18
CT - DEPARTAMENTO DE ENGENHARIA DE PRODUÇÃO;M;14
CT - DEPARTAMENTO DE ENGENHARIA MECÂNICA;F;1
CT - DEPARTAMENTO DE ENGENHARIA MECÂNICA;M;29
CT - DEPARTAMENTO DE ENGENHARIA QUÍMICA;F;8
CT - DEPARTAMENTO DE ENGENHARIA QUÍMICA;M;13
CTDR - DEPARTAMENTO DE GASTRONOMIA;F;13
CTDR - DEPARTAMENTO DE GASTRONOMIA;M;3
CTDR - DEPARTAMENTO DE TECNOLOGIA DE ALIMENTOS;F;13
CTDR - DEPARTAMENTO DE TECNOLOGIA DE ALIMENTOS;M;2
CTDR - DEPARTAMENTO DE TECNOLOGIA SUCROALCOOLEIRA;F;9
CTDR - DEPARTAMENTO DE TECNOLOGIA SUCROALCOOLEIRA;M;3
CTDR - DIREÇÃO DE CENTRO;M;1
ETS - COORDENAÇÃO DE HABILITAÇÃO EM TÉCNICO DE ENFERMAGEM;F;2
HOSP - HULW CLÍNICA PEDIÁTRICA (MÉDICOS);F;1
PRG - COORDENAÇÃO DE CURRÍCULOS ACADÊMICOS;M;1
PROEX - COORDENAÇÃO DE EXTENSÃO CULTURAL (COEX);M;1
PROGRAMA ASSOCIADO DE PÓS-GRADUAÇÃO EM FONOAUDIOLOGIA;M;1
PROGRAMA DE PÓS-GRADUAÇÃO EM COMUNICAÇÃO;M;1
PROGRAMA DE PÓS-GRADUAÇÃO EM ENFERMAGEM;F;1
PROGRAMA DE PÓS-GRADUAÇÃO EM ENGENHARIA QUÍMICA;F;1
PROPESQ - COORDENAÇÃO GERAL DE PESQUISA;F;1
REITORIA - GABINETE DA REITORIA;M;2
REITORIA - SECRETARIA DOS ORGÃOS DELIBERATIVOS SUPERIORES;M;1
SUPERINTENDÊNCIA DE SEGURANÇA INSTITUCIONAL;F;4
SUPERINTENDÊNCIA DE SEGURANÇA INSTITUCIONAL;M;1
